OBJ_ID,total_usage,total_duration,num_sessions,cluster_kmeans,perfil_consumo,PCA1,PCA2
101930011306087256,566088875.0,8.365,23,0,Alto Regular,1.313785319192139,0.7129963117216145
101930011306710337,4827679.0,0.14444444444444443,3,1,Bajo Extremo,-1.3212906344759046,-0.0519690680279931
101930011308273201,1441095.0,1.6683333333333334,3,1,Bajo Extremo,-1.1027541594018082,-0.07160022003340977
101930011309542882,3101513.0,13.333333333333332,6,0,Alto Regular,0.7759799492458432,-0.20284685046870934
101930050006253698,195810092.0,15.999444444444444,8,0,Alto Regular,1.3336601975808737,0.11445628154665012
101930050011552474,36321251.0,11.333333333333334,5,0,Alto Regular,0.4285576151659561,-0.11201860332776932
101940011307515708,2633136.0,5.477222222222222,5,1,Bajo Extremo,-0.42111719518898927,-0.12440643464730615
101940011309299536,104541498.0,1.7625,13,1,Bajo Extremo,-0.4005479797162958,0.011973407648323955
101940050014419217,28394356.0,8.000555555555556,3,0,Alto Regular,-0.18600098887265132,-0.07602146434047277
101950011311552971,11220784.0,11.72388888888889,11,0,Alto Regular,0.8795716523714474,-0.22831900250311085
101960011307938850,132862408.0,0.6666666666666666,2,1,Bajo Extremo,-1.2857923331901977,0.19521628480496528
101960011309352514,7904834.0,6.124444444444444,6,1,Bajo Extremo,-0.26019574120234884,-0.13107493164396886
101960011311013134,24181019.0,0.6525000000000001,10,1,Bajo Extremo,-0.7772916587849074,-0.09664238232724066
101970011305654517,3461.0,0.041666666666666664,5,1,Bajo Extremo,-1.2037220869528407,-0.08204621424364915
101970050008439506,66612708.0,0.34111111111111114,15,1,Bajo Extremo,-0.47969083312392197,-0.06888395856739028
101970050015450473,27128186.0,1.7883333333333333,8,1,Bajo Extremo,-0.7466242442121974,-0.07908586298609765
101980011314055873,2468849.0,0.7686111111111111,6,1,Bajo Extremo,-1.0319233674066806,-0.09468604639399429
101980011315489988,84766.0,2.666388888888889,3,1,Bajo Extremo,-0.9594438641808434,-0.08283697872120024
101980050008085892,3159933.0,1.2619444444444445,3,1,Bajo Extremo,-1.1608608713934019,-0.06483099706272255
101980050010382406,1506240.0,5.333611111111111,2,1,Bajo Extremo,-0.6420801973846492,-0.09242693959257695
101990011310648522,133011861.0,2.3327777777777774,5,1,Bajo Extremo,-0.8459836980448756,0.14814832770873587
101990011312498305,772408.0,4.016666666666667,6,1,Bajo Extremo,-0.5649625538675781,-0.1261441312051578
101990011315631469,86001563.0,12.340833333333334,12,0,Alto Regular,1.0508222359733743,-0.1040060248880914
101990050006851947,49922531.0,13.570277777777777,20,0,Alto Regular,1.7535883819225948,-0.2701526740607625
102000011306462967,143047732.0,2.8166666666666664,4,1,Bajo Extremo,-0.8409306422930032,0.17376001791550788
102000011307818956,18393028.0,13.342777777777778,8,0,Alto Regular,0.913944561505553,-0.19607125193759584
102000011308150774,108836169.0,10.66638888888889,6,0,Alto Regular,0.41460790119733487,0.019206887791082716
102000011311139329,23690562.0,10.000277777777777,6,0,Alto Regular,0.30078112217473063,-0.13511979355739018
102000011313548890,10815330.0,6.368055555555555,7,1,Bajo Extremo,-0.15784334433936187,-0.13867125629704036
102000050004137561,578451.0,0.12416666666666668,7,1,Bajo Extremo,-1.0583556936685155,-0.10358214247992652
102000050013561300,827224.0,9.836944444444445,39,2,Bajo Regular,2.473139903657369,-0.5380324826954513
102010011306317804,4155917.0,3.333333333333333,5,1,Bajo Extremo,-0.7292509403933735,-0.1028844783580354
102010050014781017,4149.0,0.2288888888888889,2,1,Bajo Extremo,-1.3768476822536506,-0.05082543528228139
102020011306428224,848548.0,7.519166666666667,10,0,Alto Regular,0.20573154857736253,-0.20028164993184397
102020011307609490,6682.0,0.7211111111111111,2,1,Bajo Extremo,-1.3060278818940527,-0.05510447419591085
102030011305191549,697533.0,5.178333333333333,8,1,Bajo Extremo,-0.26446661679412004,-0.15829415891977025
102030011306923461,57273383.0,11.873611111111112,16,0,Alto Regular,1.2442805826073857,-0.19776418052169806
102030011308474981,398007557.0,7.666111111111111,10,0,Alto Regular,0.31078240171070287,0.545332098125144
102030011308669693,27281245.0,1.3352777777777778,2,1,Bajo Extremo,-1.2119012839118974,-0.009157331984415429
102030011309127168,164132.0,0.0005555555555555556,2,1,Bajo Extremo,-1.4096657083458812,-0.04853739162227844
102040011306078737,808259.0,8.295833333333333,11,0,Alto Regular,0.38415475099499546,-0.2180663607805814
102040011309667214,705374.0,8.4725,5,0,Alto Regular,0.009425936453796106,-0.15409961791533094
102040011311703494,4058408.0,15.332777777777778,10,0,Alto Regular,1.3306055919450208,-0.2622469621812723
102040050012189165,46265178.0,15.524444444444445,21,0,Alto Regular,2.1006621057775723,-0.30498735773400226
102040050015860422,51635630.0,12.622499999999999,11,0,Alto Regular,1.0173993403584123,-0.16013591286980922
102050011310035649,98473.0,0.013333333333333334,5,1,Bajo Extremo,-1.2077785174594464,-0.08162095121879094
102050011311779559,164801.0,0.0025,2,1,Bajo Extremo,-1.4093858069272336,-0.04855305597882675
102060011307979646,10381359.0,1.3419444444444446,2,1,Bajo Extremo,-1.2145125965092478,-0.04099708051972125
102070011305189538,16801659.0,16.666666666666668,9,0,Alto Regular,1.4585257634261204,-0.23894134165360756
102070011305518318,328510437.0,14.008055555555554,16,0,Alto Regular,1.6086822880554401,0.29374502463583735
102070011305749542,2822372.0,7.333333333333333,10,0,Alto Regular,0.1794114941251152,-0.19495239487576188
102070011306045876,4065006.0,4.105833333333333,21,1,Bajo Extremo,0.44887527857573317,-0.28497251212662866
102070011306878449,31431371.0,6.497777777777777,5,1,Bajo Extremo,-0.2681988303253144,-0.07913068889306155
102070011310373478,36381572.0,10.338333333333333,10,0,Alto Regular,0.6188508638929938,-0.1579938233700264
102070050001206814,727673.0,5.333333333333333,2,1,Bajo Extremo,-0.6422846533136606,-0.09388868612257634
102070050005762061,14280943.0,12.893055555555556,17,0,Alto Regular,1.448559198136428,-0.298437097192141
102070050008456706,14824485.0,14.005277777777778,7,0,Alto Regular,0.9418213329432654,-0.19759831389326776
102080011305618828,54575000.0,1.3325,3,1,Bajo Extremo,-1.1398469605363015,0.031245534760374817
102080011306036400,107927032.0,2.3030555555555554,10,1,Bajo Extremo,-0.5221220458076457,0.046484633969766286
102080011308030096,69163970.0,0.7025,6,1,Bajo Extremo,-1.0273443301890635,0.03131538478927781
