fecha,consumo
2025-10-01 06:44:00,31219833
2025-10-01 06:45:00,2471361287
2025-10-01 06:46:00,914965371
2025-10-01 06:47:00,23775977
2025-10-01 06:48:00,61259018
2025-10-01 06:49:00,2373046
2025-10-01 06:50:00,144263353
2025-10-01 06:51:00,519349676
2025-10-01 06:52:00,383836065
2025-10-01 06:53:00,19575967
2025-10-01 06:54:00,56826232
2025-10-01 06:55:00,183514176
2025-10-01 06:56:00,25686600
2025-10-01 06:57:00,33533170
2025-10-01 06:58:00,283972909
2025-10-01 06:59:00,326597766
2025-10-01 07:00:00,26009256
2025-10-01 07:01:00,284209798
2025-10-01 07:02:00,265774405
2025-10-01 07:03:00,140562058
2025-10-01 07:04:00,784182577
2025-10-01 07:05:00,23206427
2025-10-01 07:06:00,38422080
2025-10-01 07:07:00,119732744
2025-10-01 07:08:00,81096806
2025-10-01 07:09:00,347924531
2025-10-01 07:10:00,56372041
2025-10-01 07:11:00,137343635
2025-10-01 07:12:00,21022008
2025-10-01 07:13:00,589895863
2025-10-01 07:14:00,263179161
2025-10-01 07:15:00,443427376
2025-10-01 07:16:00,60526570
2025-10-01 07:17:00,10383016
2025-10-01 07:18:00,4082405
2025-10-01 07:19:00,534184990
2025-10-01 07:20:00,77238899
2025-10-01 07:21:00,135822016
2025-10-01 07:22:00,351530863
2025-10-01 07:23:00,548646655
2025-10-01 07:24:00,14395814
2025-10-01 07:25:00,410400286
2025-10-01 07:26:00,613823867
2025-10-01 07:27:00,10794164
2025-10-01 07:28:00,150118734
2025-10-01 07:29:00,476311042
2025-10-01 07:30:00,11711787
2025-10-01 07:31:00,211849142
2025-10-01 07:32:00,823863027
2025-10-01 07:33:00,49118196
2025-10-01 07:34:00,121867942
2025-10-01 07:35:00,37261988
2025-10-01 07:36:00,147131857
2025-10-01 07:37:00,66187669
2025-10-01 07:38:00,33394481
2025-10-01 07:39:00,221153197
2025-10-01 07:40:00,6292463
2025-10-01 07:41:00,216866249
2025-10-01 07:42:00,110793150
2025-10-01 07:43:00,138079332
2025-10-01 07:44:00,73206831
2025-10-01 07:45:00,1149454461
2025-10-01 07:46:00,3966840
2025-10-01 07:47:00,166898206
2025-10-01 07:48:00,1089431190
2025-10-01 07:49:00,213527771
2025-10-01 07:50:00,46250233
2025-10-01 07:51:00,157663196
2025-10-01 07:52:00,41152099
2025-10-01 07:53:00,37517824
2025-10-01 07:54:00,101460056
2025-10-01 07:55:00,13911364
2025-10-01 07:56:00,6681823
2025-10-01 07:57:00,6793527
2025-10-01 07:58:00,6636614
2025-10-01 07:59:00,240391862
2025-10-01 08:00:00,351176304
2025-10-01 08:01:00,55543786
2025-10-01 08:02:00,100233563
2025-10-01 08:03:00,8295314
2025-10-01 08:04:00,60515408
2025-10-01 08:05:00,301063490
2025-10-01 08:06:00,212557010
2025-10-01 08:07:00,48672859
2025-10-01 08:08:00,138698228
2025-10-01 08:09:00,455810427
2025-10-01 08:10:00,13576784
2025-10-01 08:11:00,157444625
2025-10-01 08:12:00,309281450
2025-10-01 08:13:00,459035440
2025-10-01 08:14:00,666312414
2025-10-01 08:15:00,127005166
2025-10-01 08:16:00,6476555
2025-10-01 08:17:00,220253120
2025-10-01 08:18:00,7228777
2025-10-01 08:19:00,140342739
2025-10-01 08:20:00,110819722
2025-10-01 08:21:00,166397119
2025-10-01 08:22:00,12963098
2025-10-01 08:23:00,38556575
2025-10-01 08:24:00,16295489
2025-10-01 08:25:00,216177859
2025-10-01 08:26:00,190052901
2025-10-01 08:27:00,50781490
2025-10-01 08:28:00,6955205
2025-10-01 08:29:00,173947628
2025-10-01 08:30:00,448071445
2025-10-01 08:31:00,4941781
2025-10-01 08:32:00,30316732
2025-10-01 08:33:00,21063154
2025-10-01 08:34:00,14995590
2025-10-01 08:35:00,3960960
2025-10-01 08:36:00,1382726
2025-10-01 08:37:00,23691411
2025-10-01 08:38:00,7454904
2025-10-01 08:39:00,50339961
2025-10-01 08:40:00,4048231
2025-10-01 08:41:00,133415294
2025-10-01 08:42:00,28616006
2025-10-01 08:43:00,38527255
2025-10-01 08:44:00,174052253
2025-10-01 08:45:00,168537688
2025-10-01 08:46:00,254546913
2025-10-01 08:47:00,9114375
2025-10-01 08:48:00,10409985
2025-10-01 08:49:00,9546994
2025-10-01 08:50:00,61558071
2025-10-01 08:51:00,2278999
2025-10-01 08:52:00,69620785
2025-10-01 08:53:00,8353734
2025-10-01 08:54:00,23154277
2025-10-01 08:55:00,6511647
2025-10-01 08:56:00,4664007
2025-10-01 08:57:00,8676004
2025-10-01 08:58:00,149179522
2025-10-01 08:59:00,43997989
2025-10-01 09:00:00,2168774
2025-10-01 09:01:00,757668662
2025-10-01 09:02:00,1506649078
2025-10-01 09:03:00,7778220
2025-10-01 09:04:00,11120750
2025-10-01 09:05:00,226019849
2025-10-01 09:06:00,1627132
2025-10-01 09:07:00,13532159
2025-10-01 09:08:00,23337730
2025-10-01 09:09:00,10188082
2025-10-01 09:10:00,105536284
2025-10-01 09:11:00,345781750
2025-10-01 09:12:00,49075031
2025-10-01 09:13:00,164557719
2025-10-01 09:14:00,324928446
2025-10-01 09:15:00,266418428
2025-10-01 09:16:00,240742115
2025-10-01 09:17:00,205028679
2025-10-01 09:18:00,32752442
2025-10-01 09:19:00,87499738
2025-10-01 09:20:00,14386369442
2025-10-01 09:21:00,41668152
2025-10-01 09:22:00,23701491
2025-10-01 09:23:00,335567750
2025-10-01 09:24:00,459015842
2025-10-01 09:25:00,59232800
2025-10-01 09:26:00,43494852
2025-10-01 09:27:00,1573535
2025-10-01 09:28:00,117814720
2025-10-01 09:29:00,229709898
2025-10-01 09:30:00,915456515
2025-10-01 09:31:00,275451458
2025-10-01 09:32:00,2087247756
2025-10-01 09:33:00,3609063
2025-10-01 09:34:00,33065600
2025-10-01 09:35:00,254631332
2025-10-01 09:36:00,61908608
2025-10-01 09:37:00,49924482
2025-10-01 09:38:00,34066854
2025-10-01 09:39:00,335505814
2025-10-01 09:40:00,139020182
2025-10-01 09:41:00,37518837
2025-10-01 09:42:00,13761407
2025-10-01 09:43:00,35574173
2025-10-01 09:44:00,360480672
2025-10-01 09:45:00,446482234
2025-10-01 09:46:00,243850401
2025-10-01 09:47:00,6424448
2025-10-01 09:48:00,7956878
2025-10-01 09:49:00,4860679
2025-10-01 09:50:00,254508730
2025-10-01 09:51:00,11204333
2025-10-01 09:52:00,141864339
2025-10-01 09:53:00,196648590
2025-10-01 09:54:00,6248622
2025-10-01 09:55:00,441625044
2025-10-01 09:56:00,17402138
2025-10-01 09:57:00,5648156
2025-10-01 09:58:00,442938798
2025-10-01 09:59:00,71313945
2025-10-01 10:00:00,37141666
2025-10-01 10:01:00,270974775
2025-10-01 10:02:00,164808297
2025-10-01 10:03:00,559657419
2025-10-01 10:04:00,176834065
2025-10-01 10:05:00,40541290
2025-10-01 10:06:00,16944695
2025-10-01 10:07:00,190965727
2025-10-01 10:08:00,78131459
2025-10-01 10:09:00,19111782
2025-10-01 10:10:00,312207148
2025-10-01 10:11:00,18672301
2025-10-01 10:12:00,220651096
2025-10-01 10:13:00,252261335
2025-10-01 10:14:00,90900866
2025-10-01 10:15:00,18365859
2025-10-01 10:16:00,8293269
2025-10-01 10:17:00,41261452
