fecha,consumo
2025-10-01 11:23:00,89571677.77606118
2025-10-01 11:24:00,88982198.54502186
2025-10-01 11:25:00,227983817.52632055
2025-10-01 11:26:00,143937761.11172286
2025-10-01 11:27:00,120560368.4428678
2025-10-01 11:28:00,137445726.62349886
2025-10-01 11:29:00,465570284.3597541
2025-10-01 11:30:00,108112166.28690769
2025-10-01 11:31:00,109379829.44747274
2025-10-01 11:32:00,175782763.7989399
2025-10-01 11:33:00,360080203.77074575
2025-10-01 11:34:00,200759055.62710968
2025-10-01 11:35:00,267325138.5131823
2025-10-01 11:36:00,230315150.31675255
2025-10-01 11:37:00,497736670.56449676
2025-10-01 11:38:00,422212204.2514496
2025-10-01 11:39:00,542141970.3311397
2025-10-01 11:40:00,608342244.3371099
2025-10-01 11:41:00,523235896.36026025
2025-10-01 11:42:00,702824926.4633983
2025-10-01 11:43:00,851981352.573944
2025-10-01 11:44:00,797223396.6423973
2025-10-01 11:45:00,759076131.8433858
2025-10-01 11:46:00,806038086.2180262
2025-10-01 11:47:00,929996358.8566127
2025-10-01 11:48:00,928111234.622336
2025-10-01 11:49:00,1104773132.881636
2025-10-01 11:50:00,827992129.9170864
2025-10-01 11:51:00,918913609.4359542
2025-10-01 11:52:00,1041403413.2498987
